username,repo_name,repo_url,stars
localstack,localstack,https://github.com/localstack/localstack,57200
harness,harness,https://github.com/harness/harness,32400
jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,23500
auchenberg,volkswagen,https://github.com/auchenberg/volkswagen,15000
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,13400
dagger,dagger,https://github.com/dagger/dagger,11800
openshift,origin,https://github.com/openshift/origin,8500
concourse,concourse,https://github.com/concourse/concourse,7500
gocd,gocd,https://github.com/gocd/gocd,7200
buildbot,buildbot,https://github.com/buildbot/buildbot,5300
Flagsmith,flagsmith,https://github.com/Flagsmith/flagsmith,5300
gaia-pipeline,gaia,https://github.com/gaia-pipeline/gaia,5200
ovh,cds,https://github.com/ovh/cds,4600
Strider-CD,strider,https://github.com/Strider-CD/strider,4600
jenkins-x,jx,https://github.com/jenkins-x/jx,4600
TheLartians,ModernCppStarter,https://github.com/TheLartians/ModernCppStarter,4600
JamesIves,github-pages-deploy-action,https://github.com/JamesIves/github-pages-deploy-action,4300
werf,werf,https://github.com/werf/werf,4300
iterative,cml,https://github.com/iterative/cml,4100
SamKirkland,FTP-Deploy-Action,https://github.com/SamKirkland/FTP-Deploy-Action,4000
